ab/geben "Vt (gibt ab, gab ab, abgegeben) 交给, 交还, 寄存"
Angebot "n, -e 提供, 供应; 报价; 提议, 建议"
acht/geben "Vt + auf A (gibt acht, gab acht, achtgegeben) 注意, 留 心, 照看"
an/bieten "Vt (bietet an, bot an, angeboten) 提供; 敬(烟、酒、茶 等)"
an/geben "Vt (gibt an, gab an, angegeben) 说明, 陈述, 报告"
angeblich "1. Adj 所谓的, 自称的 2. Adv 据说, 据称"
angeboren "Adj 天生的"
Angebot "n, -e 供应, 提供; 提议; 报 价"
Arbeitgeber "m, - 雇主"
auf/brechen "(bricht auf, brach auf, ist /hat aufgebrochen) 1. Vi 动身 2. Vt 撬开"
auf/geben "Vt (gibt auf, gab auf, aufgegeben) 交付, 提交; 放弃; 给 ......布置(作业等)"
aufgebracht "Adj 愤怒的"
aus/geben "Vt (gibt aus, gab aus, ausgegeben) 支出, 交付"
ausschlaggebend "Adj 起决定作 用的"
backen "Vt (bäckt/backt, backte/buk, gebacken) 烤, 烘"
begeben "1. + sich 开始, 着手 2. Vt 发行; 转让"
bei/bringen "Vi/Vt (bringt bei , brachte bei, trng bei, beigebracht) 教, 传授"
beißen "(Vt) (beißt, biß, gebissen) 咬, 叮"
bekanntgeben "Vt 公布, 通告, 发表"
Bescheid "m, -e 通知, 告知, 答复； jdm. Bescheid geben / sagen 通知, 答复(某人) ； über A Bescheid wissen 知道(这回事), 了解"
biegen "(biegt, bog, hat/ist gebogen) 1. Vt 使弯曲 2. + sich 变弯 3. 转弯"
bieten "Vt (bietet, bot, geboten) 提供, 给予"
binden "Vt (bindet, band, gebunden) 捆, 系, 结; 装订"
bitten "Vt (bittet, bat, gebeten) 请求"
blasen "Vt (bläst, blies, geblasen) 吹"
bleiben "(bleibt, blieb, ist geblieben) 逗留, 停留, 呆在; 留下, 剩下; 保持, 仍然是"
braten "Vt (brät, briet, gebraten) 烤, 烧, 油煎, 炸"
brechen "(bricht, brach, hat/ist gebrochen) 1. Vt 折断 2. Vi 断裂, 碎裂 3. Vt 违反, 破坏"
brennen "(brennt, brannte, gebrannt) 1. Vi 燃烧, 烧 2. Vt 点燃 3. Vi (灯)亮着"
bringen "Vt (bringt, brachte, gebracht) 带(拿、送)来; 伴送, 运送"
ein/bringen "Vt (bringt ein, brachte ein, eingebracht) 储入, 带来(利益等)"
eingebildet "Adj 幻想的; 自命不凡的"
eingeboren "Adj 本地的; 土著的；唯一的"
ergeben "Vt/ + sich (ergibt, ergab, ergeben) 产生...结果"
Ergebnis "n, -se 结果, 成果"
Fragebogen "m, -/ ⸚e 调查表"
frei/geben "Vt 释放; 解除"
Gastgeber "m, - 邀请者, 东道主 "
gebären "Vt 分娩; 创造"
geben "Vt (gibt, gab, gegeben) 给予, 演出(剧目)； es gibt 有, 存在"
gebieten "Vt/Vi + üben 命令, 控制 "
gebildet "Adj 有教养的"
geboren "Adj 出生的, 生来的, 天才的"
gebrauchen "Vt 使用, 利用"
gebräuchlich "Adj 通常的, 通用的, 常用的"
gebraucht "P.II 用过的, 用旧的"
gebühren "Vi 应当归于...; 应得"
gebührenfrei "Adj 免费的"
gegebenenfalls "Adv 也许"
Gegebenheit "f, -en 情况, 条件"
Gesetzgeber "m, - 立法者"
herausgeben "Vt (gibt heraus, gab heraus, heraus gegeben) 出版; 找还(零钱); 交出来"
Herausgeber "m, - 编者; 发行人, 出版者"
Kundgebung "f, -en 群众性集会"
maßgebend "Adj 标准的, 范例的"
maßgeblich "Adj 标准的, 权威的"
Meeresgebiet "n 海域"
mitbringen "Vt (bringt mit, brachte mit, mitgebracht) 带来, 送来"
Mühe "f, -n 辛劳, 辛苦， sich Mühe (um etw) geben (为...)花力气"
nachgeben "Vt (gibt nach, gab nach, nachgegeben) 让步, 屈服"
naturgegeben "Adj 生就的; 天然的"
Postgebühr "f, -en 邮费"
preisgeben "Vt/ + sich 放弃; 透露"
Ratgeber "m, - 建议者, 劝告者; 顾问"
recht "Adj/Adv 右边的; 合适的; 相当, 颇; jdm. recht geben 认为某人说得(或做得)对; recht haben 说得(或做得)对"
Tagebuch "n, ⸚er 日记"
Teilgebiet "n, -e 分支, 分科"
übergeben "Vi/Vt (übergibt, übergab, übergeben) 交给"
umgeben "Vt (umgibt, umgab, umgeben) 包围, 围绕"
Umgebung "f, -en 周围, 郊区, 环境; 周围的人"
unter/bringen "Vt (bringt unter, brachte unter, untergebracht ) 安顿, 安放; 使被接受"
vergeben "Vt 宽恕; 分配; 赠送"
vergebens "Adv 徒劳地"
vergeblich "Adj 徒劳的, 徒然的, 毫无结果的"
vor/geben "Vt 借口，假托，佯言"
weiter/geben "Vt (+ an A) 转送, 传递"
wieder/geben "Vt 归还, 表达, 复述"
zu/geben "Vt (gibt zu, gab zu, zugegeben) 附加, 添加; 承认"
zurück/geben "Vt 归还, 送回"
