ab/halten "Vt 挡住,妨碍; 举行"
ab/schalten "1.Vt 切断, 关 2. Vi 注 意力不集中"
Abstand "m, ⸚e 间距, 距离； im Abstand von 在......(距离) 内; Abstand von jdm. / etw. halten 与......保持距离"
an/halten "Vi 停住"
Anhaltspunkt "m, -e 根据, 论据; 支点, 基准点, 固定点"
auf/halten "(hält auf, hielt auf, aufgehalten) 1. Vt 耽搁 2. + sich 逗留"
aufrecht/erhalten "Vt 维持,维护"
Aufenthalt "m, -e 停留, 逗留"
Aufenthaltserlaubnis "f 准许居留 签证"
aus/halten "(hält aus, hielt aus, ausgehalten) 1. Vt 忍住, 忍受 2. Vi 坚持"
aus/schalten "Vt 断开(电流); 关(机 器)"
auseinander/halten "Vt 分开, 区别开 来"
behalten "Vt (behält, behielt, behalten) 保留, 留下, 记住"
bei/behalten "Vt 维持, 保留"
Buchhalter "m, - 会计, 薄记员"
ein/halten "1. Vt 遵守, 履行 2. Vi 停止, 中止"
ein/schalten "Vt 接通, 开(动), 打开"
Einhalt "m 阻止"
enthalten "Vt (enthält, enthielt, enthalten) 含有, 包含"
erhalten "Vt (erhält, erhielt, erhalten) 收到, 接到; 保持"
Federhalter "m, - (蘸水)钢笔杆"
fern/halten "1. Vt 使远离, 2. + sich 避开3. Vi (+ von D) 远离"
fest/halten "Vt/ + sich (hält fest, hielt fest, festgehalten) 抓牢, 握住"
Gehalt "m, -e 内容, 成分"
Gehalt "n, ⸚er 薪金, 工资"
geheimhalten "Vt (+ vor D) 保守秘密"
haltbar "Adj 耐久的, 耐用的"
halten "(hält, hielt, gehalten) 1. Vi 停, 停住; 拿, 持; 举行; 遵守 2. Vt + für 认为 3. + sich + an A 遵守"
halt/machen "Vi 停止, 停下"
Haushalt "m, -e 家政, 家务; 预算, 财政"
Haushaltware "f, -n 日用品, 家庭用品"
Inhalt "m, -e (容器内的)东西; 内容"
inhaltlich "Adj/Adv 内容的, 就内容而言"
Inhaltsangabe "f, -n 内容提要"
Inhaltsverzeichnis "n, -se 目录"
innehalten "Vi 遵守; 中断片刻"
kalkhaltig "Adj 含石灰质的, 含钙的"
kohlehaltig "Adj 含碳的"
Monatsgehalt "n, -e 月薪"
Reinhaltung "f 保持清洁"
Sachverhalt "m. –e 事态，事实情况，状况"
schalten "Vt, 接通电源，换档，Vi， 管理"
Schalter "m, - 电路开关，电键，服务窗口"
Schaltung "f, -en 电路，线路，变速装置"
um/schalten "Vt/Vi ( + auf A) 换向; 换挡"
unaufhaltsam "Adj 不可阻挡的, 不可抑制的"
Unterhalt "m 生计, 赡养费"
unterhalten "(unterhält, unterhielt, unterhalten) 1. + sich 聊天, 谈话 2. Vt 维持, 供养"
Unterhaltung "f, -en 维持; 娱乐; 谈话"
Unterhaltungsliteratur "f 消谴文学"
uranhaltig "Adj 含铀的"
verhalten "1.Vt 忍住, 抑制住; 放慢 2. + sich 处于某种状态, 采取某种态度"
Verhalten "n 行为, 状态"
Vorbehalt "m, -e 保留"
vor/behalten "Vt 保留"
vor/enthalten "Vt 扣留"
Vortrag "m, ⸚e 报告； einen Vortrag (über A ) halten 作报告"
zugute "Adv (用于短语) 1. ( 与 kommen 连用 )于......有利 2. jdm etw. zugute halten 因......原谅某人"
zurück/halten "Vt/Vi + mit D/+sich 拉住"
zurückhaltend "Adj 内向的, 拘谨的"
Zurückhaltung "f 克制; 观望"
zusammen/halten "1. Vi粘连, 粘牢 2. Vt 将......集合在一起"
