ab/holen "Vt 取, 提取, 接, 迎接"
Alkohol "m, -e 酒精; 含酒精饮 料"
Alkoholiker "m, - 酒徒, 好酗酒的人"
ein/holen "Vt 赶上, 追上; 征求"
erholen "+ sich (+ von) 休养, 复原"
helfen "Vi (hilft, half, geholfen) 帮助; 有益, 有效"
herausholen "Vt 取出, 救出; 探知; 赚(钱), 捞取"
holen "Vt 取来; 接来, 请来; 买(来)"
holprig "Adj 高低不平的"
Katholik "m, -en 天主教徒"
Katholisch "Adj 天主教的, 旧教的"
Melancholie "f, -n 忧郁; 伤感; 意气消沉"
melancholisch "Adj 忧郁的, 伤感的"
nachholen "Vt 赶上; 补做, 补上"
Psychologie "f 心理学家"
psychologisch "Adj 心理学的"
Streichholz "n, ⸚er 火柴"
überholen "Vt 超过, 超车; (彻底)检修； PII过时的"
wieder/holen "Vt 取回"
wiederholen "Vt 重复, 反复; 复习"
Wiederholung "f, -en 重复, 复习"
