Abkommen "n 协议, 协定, 条约,公约"
an/kommen "Vi kommt an, kam an, ist angekommen) 1. 到达 2. +auf A 取决 于"
auf/kommen "Vi 起立; 病愈, 发生; 欺骗"
aus/kommen "(kommt aus, kam aus, ist ausgekommen) 1. + mit (用 ......) 足够 2. + mit (与 ......)和睦相处 3. + ohne 没有 ......也行"
bekommen "Vt (bekommt, bekam, bekommen) 得到, 收到"
davon/kommen "Vi 逃脱, 幸免"
durch/kommen "Vi 通过, 挤过; 完成"
Einkommen "n, - 收入"
Einkommensteuer "f, -n 所得税"
Entgegenkommen "n 迎向, 迎合"
entkommen "Vi 逃走"
Frage "f, -n 问题,, 疑问； in Frage kommen 属考虑之列 "
herüberkommen "Vi 前来, 过来"
hinzukommen "Vi 附加; 到来"
kommandieren "Vt 统帅, 命令"
kommen "(kommt, kam, ist gekommen) 1. 来, 来到 2. + aus 来自, 出身"
kommentieren "Vt 评论; 注释"
kommunal "Adj 公共的, 公有的"
kommunistisch "Adj 共产主义的, 共产党的"
kommunizieren "Vi 联系，联络，传达; 相连"
Konflikt "m, -e 冲突, 纠纷,, 争执； in Konflikt kommen 发生争议"
loskommen "Vi 摆脱, 离开"
mitkommen "(kommt mit, kam mit, ist mitgekommen) 同来, 同去"
Nachkomme "m, -n 随后到来者，后人，后任，继承者"
nachkommen "Vi 跟着来; 满足(愿望)"
Reihe "f, -n 行列, 顺序, 排; 一批, 一系列；an der Reihe sein/ an die Reihe kommen 轮到"
Übereinkunft "f, ⸚e = Übereinkommen 意见一致"
überkommen "Vt 使jn有某种感觉; 袭来"
um/kommen "Vi (kommt um, kam um, ist umgekommen) (因事故)死亡"
unter/kommen "Vi + bei D/ + in D 得到安装; 就业"
vervollkommnen "Vt 改善; 深造"
vollkommen "Adj 完美的, 完全的"
Vollkommenheit "f 完美, 完善"
voran/kommen "Vi 前进"
vorbei/kommen "Vi (+ an A) 经过"
vor/kommen "Vi (kommt vor, kam vor, ist vorgekommen) 发生, 出现; 显得, 觉得"
weg/kommen "Vi (von D)/+ über A 离去; 遗失, 克服"
weiter/kommen "Vi (+ mit D ) 进展, 前进"
wieder/kommen "Vi 回来"
willkommen "Adj 受欢迎的；jn willkommen heißen 欢迎某人"
zugute "Adv (用于短语) 1. ( 与 kommen 连用 )于......有利 2. jdm etw. zugute halten 因......原谅某人"
zu/kommen "Vi + auf A 走近, 面临"
zurecht/kommen "Vi + mit D 赶上；及时到达, 胜任"
zurück/kommen "Vi (kommt zurück, kam zurück, ist zurückgekommen) 归来"
zusammen/kommen "Vi (kommt zusammen, kam zusammen, ist zusammengekommen) 聚会, 集合, 同时出现"
zustande "Adv (只用于短语) etw. zustande bringen 完成(实现)某事； zustande kommen 得到实现, 完成"
