ab/laufen "(läuft ab, lief ab, ist abgelaufen) vi 流走; 进行, 经过; 过期"
Ablauf "m, ⸚e 流出; 排水口, (时 间的) 经过"
Anlauf "m, ⸚e (体)助跑; 起动, 加 速; 开始; 冲击"
belaufen "1. Vt 使苏醒; 使兴奋 2. + sich 复活"
Kreislauf "m 循环(运动); (血液)循环"
Kreislauf "m, ⸚e 循环(运动)"
laufen "Vi (läuft, lief, ist gelaufen) 跑; 走, 步行; 运行; 运转, 放映"
laufend "Adj 连续的, 日常的"
laufen/lassen "Vt 放走某人"
Lebenslauf "m, 履历, 生活经历"
mitlaufen "Vt 跟着走, 跟着跑"
Tagesablauf "m, ⸚e 日程, 一天的活动"
über/laufen "Vi 溢出"
überlaufen "Adj 许多人来访的, "
Umlauf "m 流通, 周旋"
um/laufen "Vi 流通; 环绕"
unterlaufen "Vi 发生; 出现; 遇到, 碰到"
Verlauf "m, ⸚e 经过; 过程"
verlaufen "(verläuft, verlief, ist/hat verlaufen) 1. + sich 迷路 2. Vi 经过, 事态发展; (时间)流逝, 3. 伸展"
vollauf "Adv 充分地, 完全地"
weg/laufen "Vi 跑开, 流失"
Wettlauf "m, ⸚e 赛跑"
zu/laufen "Vi + auf A 跑近, 跑向"
