ab/leiten "Vt 导出"
Anleitung "f, -en 指导, 引导; 指南, 说明"
Bedienungsanleitung "f, -en 使用说明; 操作规程"
begleiten "Vt 伴随, 陪送; 伴奏"
Blitzableiter "m 避雷针(器、装置)"
Blitzableiter "m 避雷针, 避雷器"
ein/leiten "Vt 使开始; 给...作序言, 引入"
Einleitung "f, -en 开始, 引入, 序言, 导论"
entgleiten "Vi 滑落, 滑掉"
geleiten "Vt 护送, 护航"
Geschäftsleitung "f, -en 企业管理, 企业领导"
gleiten "Vi (gleitet, glitt, ist gelitten) 滑动"
leiten "Vi 领导, 主持; 引入, 导电"
pleite "Adj 破产的"
Postleitzahl "f, -en 邮政编码"
um/leiten "Vt 改变......方向"
Umleitung "f, -en 饶行(路), 改道"
verleiten "Vt 诱使, 唆使"
weiter/leiten "Vt (+ an A) 转交, 转运"
zurück/leiten "Vt 导回, 送回"
