ab/machen "Vt (+ mit D) 取下, 去掉; 约定, 结束"
Abmachung "f, -en 协定, 协议, 约定"
an/machen "Vt 点燃; 开(灯、收音 机等)"
auf/machen "Vt 打开; 开设"
aufmerksam "Adj 留心的, 用心 的,jdn.auf A aufmerksam machen 让 ......注意某事"
aus/machen "Vt 关闭, 熄灭; 商定, 谈妥; 总计(对 ......)有重要性, 有关系"
bekannt "Adj 有名的, 著名的; 熟悉的认识的 jdn. mit jdm. bekannt machen 把...介绍给"
bekanntmachen "Vt 公布, 颁布"
Ehre "f, -n 荣誉, 尊敬； jdm. Ehre machen 为某人争光"
Eindruck "m, ⸚e 印象； Eindruck auf jn. machen (给某人)留下印象"
epochemachend "Adj 划时代的"
fertig/machen "Vt 结束, 完成"
Großmacht "f, ⸚e 大国"
halt/machen "Vi 停止, 停下"
kaputtmachen "Vt 打碎; 破坏；使精疲力尽"
klarmachen "Vt 使明了, 阐明"
kund/machen "Vt 通告, 通知, 宣布"
machen "Vt 做, 制作; 干, 从事; 引起, 使产生; 等于; 得出; 整理; 整修"
mitmachen "Vi + bei D/ Vt 一起做; 经受"
nutzbar "Adj 有用的; . etw. nutzbar machen 利用某物"
Ohnmacht "f, -en 昏厥; 软弱无能"
sauber/machen "Vt 打扫干净"
Spaziergang "m, +machen 散步"
Übermacht "f 优势"
vor/machen "Vt 示范"
wettmachen "Vt (durch A) 弥补, 酬谢"
wiedergutmachen "Vt 补偿"
zu/machen "Vt 关闭, 封闭"
