ab/sagen "Vt 通知取消; 回绝"
Absage "f, -n 回绝; 取消; (广播等)结 束"
an/sagen "1. Vt 预告, 口授2.+sich 预先告知来访 "
Ansager "m, - 广播员, 报幕员"
Aussage "f, -n 阐述, 陈述, 说明"
besagen "Vt 说, 说明"
Bescheid "m, -e 通知, 告知, 答复； jdm. Bescheid geben / sagen 通知, 答复(某人) ； über A Bescheid wissen 知道(这回事), 了解"
Durchsage "f, -n 广播通知; 传话"
her/sagen "Vt 背诵"
Passagier "m, -e 乘客, 旅客"
sagen "Vi/Vt 说"
sozusagen "Adv 可以说, 在某种程度上可谓"
untersagen "Vt 禁止, 不准"
versagen "1. Vt 拒绝2.Vi 不起作用, 失灵"
Voraussage "f, -n 预言, 预报"
voraus/sagen "Vt 预言"
weiter/sagen "Vt 转告"
Wettervorhersage "f 天气预报 "
Zusage "f, -n 答应, 承诺"
zu/sagen "Vi/Vt 答应"
